parameter,mean,median,lcl,ucl
"IM[1,1,1]",324.003394746549,324.001625715096,323.571267365712,324.450768960159
"IM[1,10,1]",72.3062833333333,71,43,111
"IM[1,11,1]",43.2738883333333,42,20,76
"IM[1,12,1]",24.6046683333333,23,9,51
"IM[1,13,1]",13.2842683333333,12,3,32
"IM[1,14,1]",6.79127666666667,6,1,20
"IM[1,15,1]",3.26623833333333,2,0,11
"IM[1,16,1]",1.508015,1,0,6
"IM[1,17,1]",0.690455,0,0,3
"IM[1,18,1]",0.317473333333333,0,0,2
"IM[1,19,1]",0.147545,0,0,1
"IM[1,2,1]",256.999662892577,256.999659687677,256.562370600848,257.438582231697
"IM[1,20,1]",0.0670616666666667,0,0,1
"IM[1,21,1]",0.0299316666666667,0,0,1
"IM[1,22,1]",0.0130016666666667,0,0,0
"IM[1,23,1]",0.00563833333333334,0,0,0
"IM[1,24,1]",0.002405,0,0,0
"IM[1,25,1]",0.000965,0,0,0
"IM[1,26,1]",0.000391666666666667,0,0,0
"IM[1,27,1]",0.000173333333333334,0,0,0
"IM[1,28,1]",5.00000000000001e-05,0,0,0
"IM[1,29,1]",1.50000000000001e-05,0,0,0
"IM[1,3,1]",462.000446395133,462.000464043998,461.561701871622,462.439413748699
"IM[1,30,1]",4.99999999999999e-06,0,0,0
"IM[1,4,1]",206.999586357993,206.999502452605,206.561848468917,207.437789403704
"IM[1,5,1]",699.999914467838,700.000185944283,699.379904187076,700.620988197493
"IM[1,6,1]",224.999934721329,225.000118105975,224.56132249169,225.437138755193
"IM[1,7,1]",251.212548333333,251,227,275
"IM[1,8,1]",174.189686666667,174,141,211
"IM[1,9,1]",114.998808333333,114,81,156
"IM[10,1,1]",151.285018333333,151,117,189
"IM[10,10,1]",86.9442916666667,87,74,100
"IM[10,11,1]",86.90848,87,70,104
"IM[10,12,1]",73.7802683333333,73,59,92
"IM[10,13,1]",67.89801,68,52,86
"IM[10,14,1]",59.2515916666667,59,44,78
"IM[10,15,1]",50.9120183333333,50,36,70
"IM[10,16,1]",24.32553,24,17,32
"IM[10,17,1]",13.36666,13,8,20
"IM[10,18,1]",6.82887333333333,7,3,11
"IM[10,19,1]",3.263375,3,1,7
"IM[10,2,1]",237.20049,236,184,297
"IM[10,20,1]",1.60509666666667,1,0,4
"IM[10,21,1]",1.10837666666667,1,0,3
