Lower95,Median,Upper95,Mean,SD,Mode,MCerr,MC.ofSD,SSeff,AC.200,psrf,parameter
1868.8090050799,1869.00035049721,1869.19874118518,1869.00035633838,0.0996906100698457,,0.000575564005595034,0.6,30000,0.00141565510499394,1.00007494120684,Ntot.breed[1]
1353,1476,1599,1470.48863333333,72.6855527399918,1475,3.96130329123028,5.4,337,0.640455269645269,1.08599508262358,Ntot.breed[2]
1509,1554,1639,1564.35606666667,34.7637910365723,1546,0.719112186077344,2.1,2337,0.262988361700746,1.03330643143751,Ntot.breed[3]
1404,1475,1525,1471.235,27.0081930115596,1479,0.732533385990359,2.7,1359,0.219081728871677,1.02069485794663,Ntot.breed[4]
1466,1509,1537,1507.19136666667,17.5175923288635,1517,0.207608068787395,1.2,7120,0.054399963658086,1.0021804686014,Ntot.breed[5]
1589,1687,1808,1696.3465,58.2229688486716,1682,2.54463000129903,4.4,524,0.503267649139279,1.00274673700211,Ntot.breed[6]
1461,1568,1694,1573.05583333333,64.8930686050829,1569,2.23845570362986,3.4,840,0.446457328434569,1.02834264560265,Ntot.breed[7]
1458,1561,1691,1567.3434,59.3529204736012,1552,2.06858388792434,3.5,823,0.469020113131176,1.05102810782472,Ntot.breed[8]
1491,1591,1728,1593.2487,60.0522255260898,1598,2.49583998452966,4.2,579,0.51735079346272,1.06261847648874,Ntot.breed[9]
1495,1596,1754,1607.64966666667,66.1795914500815,1550,2.85085137376067,4.3,539,0.522197875450205,1.06161127276327,Ntot.breed[10]
1421,1517,1619,1519.08126666667,46.6434023483312,1517,1.73304206086699,3.7,724,0.427656577452687,1.04723809041522,Ntot.breed[11]
1405,1514,1592,1513.01933333333,51.8827391352483,1573,2.24835915505676,4.3,532,0.419320770085341,1.01225896545314,Ntot.breed[12]
1326,1436,1525,1432.19436666667,46.3802870405781,1443,1.65474297328898,3.6,786,0.380841245962266,1.01800235505242,Ntot.breed[13]
1345,1417,1522,1424.05923333333,43.9082291736435,1414,1.70983357474895,3.9,659,0.414989154644531,1.01498286301236,Ntot.breed[14]
1396,1454,1573,1462.7611,50.4444801900339,1409,1.86481604277821,3.7,732,0.432810732999767,1.01181597944107,Ntot.breed[15]
1629,1713,1793,1712.47146666667,37.5897195885991,1713,1.2430274981081,3.3,914,0.384845853163847,1.00592046236226,Ntot.breed[16]
1485,1582,1611,1570.04383333333,32.8969621542201,1585,1.11755160477272,3.4,867,0.403831979407415,1.01024760023037,Ntot.breed[17]
1636,1771,1832,1759.299,44.9063820828591,1772,1.09230420045424,2.4,1690,0.20164615307268,1.00176300102045,Ntot.breed[18]
