Lower95,Median,Upper95,Mean,SD,Mode,MCerr,MC.ofSD,SSeff,AC.200,psrf,parameter
4482.36232050805,4771.07881419959,4946.4168826596,4759.21279919905,110.708249632249,4784.92481994324,18.0393273785757,16.3,38,0.960389619276431,1.08406818310806,Ntot[1]
4418.86244950106,4850.34226697798,5253.64074036501,4821.83642170151,226.748778911992,4863.16754899377,17.6210455373998,7.8,166,0.804516686985271,1.08592855565301,Ntot[2]
4298.04029426717,4799.61844747295,5185.97397617457,4767.34494583803,231.277633541227,4819.16744397752,21.0266637922623,9.1,121,0.864329030759473,1.05901157940341,Ntot[3]
4487.63633183456,4976.5872983815,5380.46135476989,4948.78390122902,230.172024898843,5001.58976760022,19.8146179286193,8.6,135,0.86006439432609,1.05320751135528,Ntot[4]
4541.30726145395,5007.26006795177,5425.43379728404,4984.44458628182,229.278188716599,5040.5463464278,17.4942464513108,7.6,172,0.816526780937513,1.05235300850256,Ntot[5]
3964.45301665401,4553.76376659737,4970.1761789707,4513.28633421997,252.735830099249,4600.05277423431,30.2042672595633,12,70,0.845299982026297,1.05418639062983,Ntot[6]
3784.87122281079,4371.38127108063,4786.99203370442,4335.97933917931,252.023437446464,4403.20971341499,30.4805878065812,12.1,68,0.852601106292431,1.04721391364067,Ntot[7]
3725.15308976729,4309.22402005117,4713.59458568481,4269.22478988363,250.672361641108,4350.20771200624,29.3859479383185,11.7,73,0.868555036815992,1.05373111772343,Ntot[8]
3898.50405379807,4451.95618556677,4878.45907687926,4422.54382936768,245.506250594117,4492.38050470484,29.6725147416474,12.1,68,0.861582021403675,1.05625366817386,Ntot[9]
3877.89175715617,4385.302041989,4824.80999062346,4358.83941655585,239.526238512397,4414.12436628446,27.125118937647,11.3,78,0.833529553830579,1.05343325879919,Ntot[10]
3650.33271320616,4177.56804980872,4589.67607268702,4146.89545576836,235.499684333865,4212.91597420269,28.0166133386332,11.9,71,0.851657337436041,1.05001614207615,Ntot[11]
3498.17295185221,4040.46968353947,4450.57883495028,4011.26374479501,233.484389728142,4064.18505903926,27.3308793419206,11.7,73,0.858702349650459,1.04925183725679,Ntot[12]
3500.57770039722,4054.60714832504,4433.919717779,4024.29806125888,232.376626888182,4091.03191641386,30.7407858762755,13.2,57,0.866362803473247,1.04209877773473,Ntot[13]
3293.69993469538,3808.72507391428,4130.54216775748,3779.03571006962,208.822102453353,3840.16193097707,32.1340007955572,15.4,42,0.8880629381262,1.05240392452727,Ntot[14]
3476.20433652002,3946.10799461062,4288.87566326479,3921.55847613297,202.233318987606,3975.58506040288,26.0419538206372,12.9,60,0.870111915659242,1.052623905524,Ntot[15]
3357.35468738975,3845.6946561213,4175.21219757458,3820.64296808501,201.376188733374,3862.5662498016,22.9127315352259,11.4,77,0.914569007168088,1.05435083369793,Ntot[16]
3542.3558170738,4003.3373141933,4362.66241992448,3981.14357081391,202.160696354789,4013.69047138415,23.1158109558087,11.4,76,0.903307708669324,1.0539728618887,Ntot[17]
2818.93251378271,3296.97603085038,3728.73307679834,3291.40322942751,222.286602178109,3294.1850018287,14.6799099669663,6.6,229,0.576317101862639,1.02473901478609,Ntot[18]
2836.70104715021,3330.8528868053,3765.89001550206,3322.90328963071,228.449090040629,3343.48898765484,15.5444122007937,6.8,216,0.586966115002875,1.02789013827455,"Ntot.f[1,1]"
2834.27203075936,3330.53133825999,3763.83000523174,3322.84010686566,228.302511390989,3332.02850183606,15.4667507203119,6.8,218,0.58757502951737,1.02789660564404,"Ntot.f[2,1]"
2824.7449206985,3330.13798359703,3756.71768182418,3322.76389078651,228.37865970496,3339.46941656561,15.6366521590422,6.8,213,0.587412634766369,1.02796664337052,"Ntot.f[3,1]"
2840.48187793104,3282.64548469357,3703.968572132,3279.86486826699,215.727812872056,3282.96477158622,11.7493975890982,5.4,337,0.525729959990723,1.02383910304151,"Ntot.f[1,2]"
3017.01264377858,3431.61599541326,3834.381594058,3434.46311908604,206.879559403849,3423.73227829729,8.48805582178152,4.1,594,0.43228407421852,1.01511387408413,"Ntot.f[2,2]"
