Year,Sa,Sj,Fec,n.breed,n.nonbreed
1,0.937112945,0.792934395,0.291957846,1869.17354,2866.911103
2,0.964248705,0.873912494,0.335301873,1002,3859.577204
3,0.977609184,0.918167131,0.418630047,1356,3330.812232
4,0.960146009,0.860938182,0.285628886,1152,3660.507258
5,0.918741962,0.743953009,0.14790957,1294,3365.278671
6,0.96697075,0.882675708,0.265181952,1687,2627.896989
7,0.935289814,0.787877577,0.194977546,1485,2916.865994
8,0.975111164,0.909650374,0.462940383,1177,3109.011452
9,0.923281226,0.755659616,0.277780842,1516,2902.105795
10,0.884723096,0.663555421,0.552358818,1460,2786.611539
11,0.956280462,0.848963861,0.192846225,1250,2816.661557
12,0.969917615,0.892305753,0.333093503,1356,2632.369827
13,0.869937827,0.63219628,0.255904426,1122,2959.800109
14,0.965451695,0.877769874,0.454279874,1391,2255.744948
15,0.936137614,0.790223522,0.205111044,1392,2414.529947
16,0.995648633,0.8295778,0.278046373,1744,1927.653539
17,0.724427766,0.8295778,0.379861699,1344,2522.632952
18,,,,1778,1253.873321
