"Mean","Median","SD","lcl","ucl","Rhat","parameter","Year"
2400,2400,0,2400,2400,NA,"Ntot.breed[1]",2001
1728.97362,1722,113.352022173867,1527,1980,1.01098012854202,"Ntot.breed[2]",2002
1249.76017,1160,357.30034050768,768,2022,1.15262143007051,"Ntot.breed[3]",2003
1870.30659,1869,53.0996200388325,1764,1998,1.01857163030889,"Ntot.breed[4]",2004
1311.24316,1296,61.0088334095313,1221,1459,1.00327031685089,"Ntot.breed[5]",2005
1579.93852,1573,91.8882702783753,1438,1765,1.07729494484165,"Ntot.breed[6]",2006
1319.44143,1308,56.6714298925372,1229,1449,1.0145235194516,"Ntot.breed[7]",2007
1767.1817,1765,58.5500155948166,1642,1903,1.03044304696703,"Ntot.breed[8]",2008
1793.97553,1794,56.1659743740449,1672,1919.02499999999,1.03759662492617,"Ntot.breed[9]",2009
1695.80468,1697,57.0592871294417,1568,1816,1.02117481577614,"Ntot.breed[10]",2010
1744.32141,1704,368.08256458756,1176,2416,1.77632776860167,"Ntot.breed[11]",2011
1773.78666,1782,58.1377568025467,1639,1888,1.00122878672857,"Ntot.breed[12]",2012
2074.19579,2085,70.6286797298371,1915,2180,1.00729275383273,"Ntot.breed[13]",2013
1817.43928,1829,60.130951018542,1674,1926,1.00518898908262,"Ntot.breed[14]",2014
1896.39662,1909,52.172583914933,1767,1983,1.00805061545316,"Ntot.breed[15]",2015
1129.62674,1118,52.0016532303713,1041,1254,1.00266774409694,"Ntot.breed[16]",2016
1251.09596,1241,49.0533170535647,1164,1365,1.01742795472825,"Ntot.breed[17]",2017
1440.76748,1448,49.4702282942425,1320,1536,1.03214032806224,"Ntot.breed[18]",2018
1722.38798,1733,57.5262609964062,1582,1827,1.00913714377457,"Ntot.breed[19]",2019
890.67521,812,334.364378929387,449,1684,1.00028045696199,"Ntot.breed[20]",2020
1582.40997,1617,200.778299608934,1128,1886,1.00188262367575,"Ntot.breed[21]",2021
1206.93761,1192,161.273571390777,924,1554,1.00426458149633,"Ntot.breed[22]",2022
1460.0533,1466,147.004183074525,1153,1731,1.02185387369159,"Ntot.breed[23]",2023
1296.37665,1302,148.064914537397,987,1572,1.01527457713597,"Ntot.breed[24]",2024
1560.17386,1573,181.832532137123,1171,1882,1.04061243912395,"Ntot.breed[25]",2025
1405.5179,1417,187.73887061135,1004,1740,1.02819798102822,"Ntot.breed[26]",2026
1628.76987,1643,227.521972241499,1145,2030.02499999999,1.04761645399174,"Ntot.breed[27]",2027
1508.01523,1521,235.295379761704,1012,1928,1.03815379673052,"Ntot.breed[28]",2028
1798.27354,1803,325.587341042361,1149,2420,1.04190214068954,"Ntot.breed[29]",2029
1612.0648,1625,291.146214645053,1012,2143,1.04389102805606,"Ntot.breed[30]",2030
1792.5135,1799,355.065965330595,1080,2465,1.05306337676663,"Ntot.breed[31]",2031
1706.32635,1717,351.269714108401,995,2360,1.04951466783123,"Ntot.breed[32]",2032
1810.91605,1816,399.697968254851,1015,2567,1.05923060855865,"Ntot.breed[33]",2033
1779.41664,1784,412.270640043548,963,2559,1.0559007584577,"Ntot.breed[34]",2034
1859.84517,1862,455.419865058833,965,2728,1.0633013814447,"Ntot.breed[35]",2035
1853.22838,1853,476.544914035526,927,2769,1.06123854625721,"Ntot.breed[36]",2036
1923.52212,1918,518.071290431467,927,2926,1.06690793650343,"Ntot.breed[37]",2037
1931.94474,1923,544.465708190522,892,2996,1.06603133742532,"Ntot.breed[38]",2038
2009.44121,1996,591.527992674393,895,3176,1.06984980138292,"Ntot.breed[39]",2039
2021.64769,2004,619.929103824463,864,3256,1.06944219905135,"Ntot.breed[40]",2040
2092.76066,2068,667.611584013216,861.975,3432,1.07300321305609,"Ntot.breed[41]",2041
2115.98342,2086,700.825284508127,838,3535,1.0726557147212,"Ntot.breed[42]",2042
2178.77287,2141,748.509205208771,827,3707,1.0757939898152,"Ntot.breed[43]",2043
2211.76567,2166,786.877571876707,807,3835,1.07585509695535,"Ntot.breed[44]",2044
2270.44833,2218,835.320140609326,797,4007,1.07836286133786,"Ntot.breed[45]",2045
2310.34152,2248,877.838336600505,776,4146,1.07868571029143,"Ntot.breed[46]",2046
2368.30952,2295,928.78609621026,767,4329,1.08097453321391,"Ntot.breed[47]",2047
2413.91951,2332,975.328649661799,750,4488,1.08135126024234,"Ntot.breed[48]",2048
2473.67591,2380,1029.46467822403,736,4677,1.08320984920538,"Ntot.breed[49]",2049
0.720405675,0.7175,0.0472300092391114,0.63625,0.825,1.01098012854202,"lambda[1]",2001
0.725493597920641,0.680308422301305,0.212718048739211,0.445532435740514,1.20689708419416,1.15455178294902,"lambda[2]",2002
1.61383225428535,1.61429201866095,0.429732043647211,0.920194356517577,2.43308493971125,1.091501331778,"lambda[3]",2003
0.701629207023965,0.695533769063181,0.0378865825662352,0.638492871690428,0.790445421424755,1.00445399125271,"lambda[4]",2004
1.20776144680723,1.2040971168437,0.0930372171794545,1.02849190681582,1.386709367494,1.0469642880115,"lambda[5]",2005
0.838195493089709,0.836912751677852,0.0640115595306807,0.723245109321059,0.971493807615605,1.02056259364931,"lambda[6]",2006
1.34173011132653,1.34595003785011,0.0713555090008266,1.19806692242114,1.4808171082614,1.02535136485577,"lambda[7]",2007
1.01628380191321,1.01611047180667,0.046416942700444,0.917850970520411,1.1126766606504,1.00296883949998,"lambda[8]",2008
0.946186934049379,0.945559487086433,0.0431325539164402,0.859321723636622,1.04007173071273,1.03238222082544,"lambda[9]",2009
1.03071295679036,1.01292597390986,0.223785269227416,0.674086632496864,1.44028995100765,1.7558651809199,"lambda[10]",2010
1.063848490255,1.03648949976918,0.230146616996897,0.72595926385258,1.52105811570793,1.69778994635764,"lambda[11]",2011
1.17071804296783,1.17224080267559,0.0574247144067038,1.05674875120316,1.28898315442718,1.0037174041746,"lambda[12]",2012
0.877237759713723,0.875413713063709,0.0418061424589037,0.793732249798513,0.963968770100244,1.00357423579108,"lambda[13]",2013
1.04462528400289,1.04266958424508,0.0459218229445613,0.957700650759219,1.14504716981132,1.00491581858439,"lambda[14]",2014
0.596085101077666,0.591322978039636,0.0312820387744821,0.544252176378974,0.670626349892009,1.00283676496096,"lambda[15]",2015
1.11023346343695,1.10968921389397,0.0728780078084286,0.965326917944025,1.26185962582584,1.01323078561973,"lambda[16]",2016
1.15347070969956,1.16081632653061,0.0617037707526506,1.01378784872823,1.26460820800315,1.03097440802157,"lambda[17]",2017
1.19688793095039,1.19545767377839,0.057757081020165,1.08258630548035,1.32697750878462,1.01359109344488,"lambda[18]",2018
0.51796128490063,0.472635383482272,0.195714461578311,0.258362037699599,0.980582667047401,1.00019584068567,"fut.lambda[1]",2019
2.09118716187732,2.0119189511323,0.906175251295932,0.684866285994901,3.93167469161904,1.00002724996333,"fut.lambda[2]",2020
0.784486072003781,0.726183115040629,0.19930242117516,0.550547972934902,1.30769391159299,1.0025336839385,"fut.lambda[3]",2021
1.22876890328092,1.23840790175613,0.186781783925806,0.867698270163361,1.57030605907943,1.01330357925951,"fut.lambda[4]",2022
0.89070423097031,0.878826132264274,0.087717774069706,0.748830877717877,1.08915017494013,1.00673545304383,"fut.lambda[5]",2023
1.20575779138318,1.20481927710843,0.081175258928371,1.05198232433375,1.36690195361258,1.03665372242876,"fut.lambda[6]",2024
0.89988103086571,0.899824764860441,0.044971566264966,0.811731757362577,0.987410156833627,1.0083843520793,"fut.lambda[7]",2025
1.15877378009644,1.15711094564408,0.0490955424887547,1.06725794530673,1.25953656672522,1.05298973566124,"fut.lambda[8]",2026
0.924054908544074,0.925342279570995,0.0360042837233568,0.849768355723918,0.991118264392153,1.00731254796683,"fut.lambda[9]",2027
1.19374926047169,1.19036516080409,0.123696253995117,0.98469737096254,1.4213733639061,1.00601500894016,"fut.lambda[10]",2028
0.899305264142496,0.895117977690125,0.0753527367141726,0.766165706752255,1.04744342672926,1.00163169747691,"fut.lambda[11]",2029
