Year,Albatross Plain,False Peak,Gonydale,GP Valley,Green Hill,Hummocks,Spire Crag,Tafelkop,Tarn Moss,Triple Peak,West Point
2001,325,129,125,918,310,51,338,16,35,153,
2002,,,,,,,,,,,
2003,,,,,,,,,,,
2004,294,74,154,359,164,45,210,23,45,166,335
2005,283,,116,724,,,,17,,130,
2006,229,63,154,473,183,,197,15,44,103,
2007,231,48,131,305,126,37,142,13,40,89,117
2008,344,129,167,267,180,29,220,16,59,105,248
2009,398,96,152,279,128,35,246,18,51,119,272
2010,207,65,148,145,148,39,391,15,54,82,404
2011,,,192,,,,,17,,,
2012,205,66,128,403,584,22,221,9,51,99,
2013,228,73,156,598,446,198,331,12,32,71,
2014,237,76,,541,389,,274,15,56,116,
2015,334,80,183,304,156,51,261,15,60,102,375
2016,203,68,143,191,85,52,152,15,35,56,106
2017,259,,149,278,31,36,156,14,42,79,187
2018,199,88,146,207,182,65,230,9,52,51,224
2019,315,86,187,215,155,49,261,17,71,76,309
