lcl,Median,ucl,Mean,SD,Mode,MCerr,MC.ofSD,SSeff,AC.100,Rhat,parameter,Year,demographic,Scenario
4809.45061186371,4980.74063479122,5195.3967283478,4990.28219610653,100.382851320157,4969.32639812116,4.38364031317831,4.4,524,0.960914179427244,1.00434850365903,Ntot[1],2004,pop.size,"past, and no future change"
4899.31969403732,5142.22687308243,5398.20056718264,5147.39177630656,127.467091742331,5129.71698187935,3.63237738837894,2.8,1231,0.787654695175793,1.00295866175215,Ntot[2],2005,pop.size,"past, and no future change"
4868.01061225052,5108.91875964415,5367.40928466807,5114.59882841098,127.635669847529,5103.49343124205,3.72042159885159,2.9,1177,0.761486779748363,1.00326440177619,Ntot[3],2006,pop.size,"past, and no future change"
4842.47609923824,5095.30678829515,5355.94619444575,5100.05271654113,131.008626639853,5097.85593765651,3.59778270632109,2.7,1326,0.694796127337641,1.00054302951169,Ntot[4],2007,pop.size,"past, and no future change"
4701.37655674954,4940.1406195192,5192.26560227056,4943.26882830122,126.015942475636,4932.10061490112,2.81448689915441,2.2,2005,0.650731620190672,1.00406543646219,Ntot[5],2008,pop.size,"past, and no future change"
4470.73559893557,4697.49995686379,4932.92017095654,4700.21215821701,118.226278646811,4696.34914570585,2.26674945355387,1.9,2720,0.62603035733119,1.00218897981728,Ntot[6],2009,pop.size,"past, and no future change"
4337.65243915642,4572.5330183348,4820.29400709642,4575.57639264922,123.440668838039,4569.67457640401,2.40939602831853,2,2625,0.665313572596212,1.00266362227451,Ntot[7],2010,pop.size,"past, and no future change"
4226.2109544375,4451.60597753574,4697.44418375598,4454.26924676617,120.575974180774,4443.70019624766,2.10763464300436,1.7,3273,0.690757945246778,1.00226046799136,Ntot[8],2011,pop.size,"past, and no future change"
4268.69708235203,4532.93189552541,4788.50654335938,4536.01085170381,132.575311162145,4524.07750768652,2.62247364653244,2,2556,0.731242260220258,1.00263919458248,Ntot[9],2012,pop.size,"past, and no future change"
4164.85186423352,4425.94285494474,4700.99905896163,4429.51578799877,137.074479218157,4422.57496467627,2.51820319014407,1.8,2963,0.689719186591344,1.00251978152322,Ntot[10],2013,pop.size,"past, and no future change"
3861.21553303673,4101.85315303828,4363.03784541775,4106.52393031018,128.496448885813,4093.87479643018,2.13283640063614,1.7,3630,0.658827589972252,1.00334017455952,Ntot[11],2014,pop.size,"past, and no future change"
3721.55610551178,3939.67888032169,4176.2752224284,3943.93095837549,116.671304925142,3932.22676037701,2.11682327980783,1.8,3038,0.74835057818501,1.00243095101861,Ntot[12],2015,pop.size,"past, and no future change"
3815.02229770986,4063.59515386071,4330.21230520328,4067.99264294378,132.327480218758,4051.81152864521,2.57849994610245,1.9,2634,0.772702222520497,1.00203323385193,Ntot[13],2016,pop.size,"past, and no future change"
3464.96354663188,3657.99081504919,3867.07692350047,3660.68440722221,103.230399870753,3651.88284633932,1.74192635347115,1.7,3512,0.711998614288324,1.00229037782553,Ntot[14],2017,pop.size,"past, and no future change"
3571.8504306467,3785.08378504696,4010.1529891457,3788.74368415786,112.774801059011,3775.72858150495,2.00096245379607,1.8,3176,0.752138404946021,1.00315774176282,Ntot[15],2018,pop.size,"past, and no future change"
3413.68011889661,3604.85002215322,3809.83396772716,3607.9614960356,101.331640440322,3599.23359050483,1.78037007095895,1.8,3239,0.822105927958149,1.00293578061527,Ntot[16],2019,pop.size,"past, and no future change"
3545.38601607344,3756.77597397155,3974.04577704421,3760.06564404214,109.832654752621,3752.02796327353,2.1039140062726,1.9,2725,0.83965828010952,1.00323209321185,Ntot[17],2020,pop.size,"past, and no future change"
3677.90187130073,3913.23639102313,4169.13897609485,3916.59612585741,126.562118018572,3908.00850654897,2.569016620249,2,2427,0.808426654685415,1.00335144115482,Ntot[18],2021,pop.size,"past, and no future change"
3708.89140729003,3977.34978161562,4279.4100786822,3982.82250206474,146.393359180818,3967.93281344617,3.28074745177191,2.2,1991,0.768393532341928,1.00352200269777,"Ntot.f[1,1]",2022,pop.size,"past, and no future change"
3705.67895764024,3978.18989156859,4274.43215927298,3982.90012877855,146.260797545724,3971.30875864422,3.30553896195148,2.3,1958,0.768229222072845,1.00345013466888,"Ntot.f[2,1]",2022,pop.size,after successful mouse eradication
3703.33082631661,3977.92243178619,4270.73370726999,3982.8592916755,146.380164078432,3970.39250161545,3.32265412273899,2.3,1941,0.768499906684662,1.00341774728542,"Ntot.f[3,1]",2022,pop.size,unsuccessful mouse eradication and worsening impacts
3652.13289462409,3955.75541920085,4284.9980667833,3962.53141720723,162.137283037799,3947.0629016923,3.7879670960455,2.3,1832,0.77754874233045,1.00373389405304,"Ntot.f[1,2]",2023,pop.size,"past, and no future change"
3790.10459669075,4115.59534977666,4469.69175731642,4121.80646536154,173.241414658803,4103.56192252358,4.07947989268459,2.4,1803,0.781817639634468,1.00332698939378,"Ntot.f[2,2]",2023,pop.size,after successful mouse eradication
3602.89377743089,3906.81870491651,4229.38548566688,3912.89462577209,160.758078678689,3889.32263019056,3.71818237804386,2.3,1869,0.775525849322788,1.00358973924305,"Ntot.f[3,2]",2023,pop.size,unsuccessful mouse eradication and worsening impacts
3568.56869329246,3913.61048113719,4280.87823223691,3921.73472912065,182.166777769837,3910.32370929356,4.45434544807888,2.4,1673,0.792229744866962,1.00371617253991,"Ntot.f[1,3]",2024,pop.size,"past, and no future change"
