BirdID,AGE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GO-16-18-1141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
GO-16-18-1142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
GO-16-18-2615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-2616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-2617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-2619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-2621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-2622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-2623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-2624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-2625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-2626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-2627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GO-16-18-2628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-2629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
GO-16-18-333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
GO-16-18-3488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-3489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
GO-16-18-358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
GO-16-18-361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
GO-16-18-362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
GO-16-18-363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GO-16-18-373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
GO-16-18-3816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-3817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-3818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-3819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-3820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
